Date/Time (LST),Longitude (x),Latitude (y),Temp (°C),Precip. Amount (mm),Wind Spd (km/h),Visibility (km),Weather
2014-10-04 00:00:00,-79.4,43.63,15.6,0.2,9.0,12.9,Rain
2014-10-04 01:00:00,-79.4,43.63,15.4,2.0,18.0,11.3,Rain
2014-10-04 02:00:00,-79.4,43.63,14.6,2.8,15.0,14.5,Rain
2014-10-06 20:00:00,-79.4,43.63,14.5,0.2,18.0,16.1,Rain
2014-10-07 03:00:00,-79.4,43.63,12.9,0.2,24.0,16.1,
2014-10-07 06:00:00,-79.4,43.63,12.2,0.2,21.0,16.1,Rain
2014-10-07 09:00:00,-79.4,43.63,12.7,2.5,17.0,16.1,
2014-10-07 17:00:00,-79.4,43.63,13.6,1.2,8.0,16.1,Rain
2014-10-07 18:00:00,-79.4,43.63,11.9,4.0,0.0,8.1,"Moderate Rain,Fog"
2014-10-07 19:00:00,-79.4,43.63,11.8,3.8,4.0,16.1,Rain
2014-10-07 20:00:00,-79.4,43.63,11.8,2.2,13.0,8.1,"Rain,Fog"
2014-10-07 21:00:00,-79.4,43.63,11.5,0.8,15.0,14.5,Rain
2014-10-07 22:00:00,-79.4,43.63,11.2,1.2,13.0,14.5,Rain
2014-10-07 23:00:00,-79.4,43.63,11.3,0.2,8.0,16.1,
2014-10-08 00:00:00,-79.4,43.63,11.6,0.2,4.0,16.1,
2014-10-08 21:00:00,-79.4,43.63,9.5,0.5,18.0,16.1,Rain
2014-10-15 01:00:00,-79.4,43.63,17.1,0.8,21.0,16.1,Rain
2014-10-15 02:00:00,-79.4,43.63,15.6,1.2,24.0,6.4,"Rain,Fog"
2014-10-15 03:00:00,-79.4,43.63,13.7,0.8,26.0,9.7,"Rain,Fog"
2014-10-15 05:00:00,-79.4,43.63,12.3,0.2,18.0,4.8,"Rain,Fog"
2014-10-15 06:00:00,-79.4,43.63,12.1,0.2,13.0,4.0,Fog
2014-10-16 12:00:00,-79.4,43.63,14.6,0.2,13.0,8.1,Fog
2014-10-16 18:00:00,-79.4,43.63,14.1,2.0,11.0,4.8,"Moderate Rain,Fog"
2014-10-16 19:00:00,-79.4,43.63,13.8,8.6,8.0,12.9,"Thunderstorms,Moderate Rain"
2014-10-16 20:00:00,-79.4,43.63,13.5,2.0,4.0,16.1,
2014-10-20 07:00:00,-79.4,43.63,7.4,0.5,0.0,8.1,"Moderate Rain,Fog"
2014-10-20 08:00:00,-79.4,43.63,7.4,1.2,4.0,14.5,Rain
2014-10-20 09:00:00,-79.4,43.63,7.7,0.2,9.0,16.1,
2014-10-20 14:00:00,-79.4,43.63,9.6,0.8,5.0,12.9,Moderate Rain
2014-10-20 15:00:00,-79.4,43.63,10.2,1.2,4.0,8.1,"Moderate Rain,Fog"
2014-10-20 16:00:00,-79.4,43.63,10.2,0.5,8.0,16.1,
2014-10-20 17:00:00,-79.4,43.63,9.1,1.0,9.0,8.1,"Heavy Rain,Fog"
2014-10-20 18:00:00,-79.4,43.63,9.8,1.8,9.0,11.3,
2014-10-20 20:00:00,-79.4,43.63,10.5,1.2,0.0,4.0,"Rain,Fog"
2014-10-21 03:00:00,-79.4,43.63,9.0,0.2,4.0,2.4,Fog
2014-10-21 12:00:00,-79.4,43.63,9.5,0.5,17.0,16.1,Rain
2014-10-21 16:00:00,-79.4,43.63,8.7,1.2,17.0,14.5,Moderate Rain
2014-10-21 17:00:00,-79.4,43.63,8.6,0.2,21.0,16.1,
2014-10-21 20:00:00,-79.4,43.63,7.3,0.2,21.0,16.1,Rain
2014-10-28 00:00:00,-79.4,43.63,10.4,0.2,26.0,12.9,Rain
2014-10-28 04:00:00,-79.4,43.63,10.3,0.8,21.0,8.1,"Moderate Rain,Fog"
2014-10-28 05:00:00,-79.4,43.63,10.3,0.5,24.0,16.1,Rain
2014-10-28 14:00:00,-79.4,43.63,15.2,0.2,30.0,11.3,Rain
2014-10-28 17:00:00,-79.4,43.63,16.0,0.2,22.0,14.5,Rain
2014-10-28 18:00:00,-79.4,43.63,15.2,0.2,13.0,16.1,
2014-10-31 05:00:00,-79.4,43.63,6.7,0.2,9.0,16.1,Rain
2014-10-31 06:00:00,-79.4,43.63,6.8,0.2,9.0,16.1,Rain
2014-10-31 07:00:00,-79.4,43.63,6.5,0.5,9.0,16.1,Rain
2014-10-31 08:00:00,-79.4,43.63,6.6,0.8,8.0,16.1,Rain
